"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"ec11010401","VALORES EN CUSTODIA","11010401","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110201","ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS","110201","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110202","ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA","110202","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110203","ACTIVOS FINANCIEROS MANTENIDOS HASTA SU VENCIMIENTO","110203","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110204","PROVISION POR DETERIORO","110204","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec1102050101","CUENTAS POR COBRAR CLIENTES NO RELACIONADOS LOCALES","1102050101","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec1102050102","CUENTAS POR COBRAR CLIENTES NO RELACIONADOS EXTRANJEROS","1102050102","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec11020601","DOCUMENTOS Y CUENTAS POR COBRAR CLIENTE RELACIONADOS LOCALES","11020601","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec11020602","DOCUMENTOS Y CUENTAS POR COBRAR CLIENTE RELACIONADOS EXTRANJEROS","11020602","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec11020701","ANTICIPO SUELDOS","11020701","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec11020702","ANTICIPO DÉCIMO TERCER SUELDO","11020702","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec11020703","ANTICIPO DÉCIMO CUARTO SUELDO","11020703","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec11020704","ANTICIPO UTILIDADES","11020704","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec110208","OTRAS CUENTAS POR COBRAR RELACIONADAS","110208","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec110209","OTRAS CUENTAS POR COBRAR","110209","account.data_account_type_receivable","l10n_ec_ja_ifrs","TRUE"
"ec110210","PROVISION POR CUENTAS INCOBRABLES","110210","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110301","INVENTARIOS DE MATERIA PRIMA","110301","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110302","INVENTARIOS DE PRODUCTOS EN PROCESO","110302","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110303","INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN EL PROCESO DE PRODUCCION","110303","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110304","INVENTARIOS DE SUMINISTROS O MATERIALES A SER CONSUMIDOS EN LA PRESTACION DE SERVICIOS","110304","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110305","INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACEN - PRODUCIDO POR LA COMPAÑIA","110305","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110306","INVENTARIOS DE PROD. TERM. Y MERCAD. EN ALMACEN - COMPRADO A TERCEROS","110306","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110307","MERCADERIAS EN TRANSITO","110307","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110308","PROVISION DE INVENTARIOS POR VALOR NETO DE REALIZACION","110308","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110309","PROVISION DE INVENTARIOS POR DETERIORO FISICO","110309","account.data_account_type_current_assets","l10n_ec_ja_ifrs","FALSE"
"ec110401","SEGUROS PAGADOS POR ANTICIPADO","110401","account.data_account_type_prepayments","l10n_ec_ja_ifrs","TRUE"
"ec110402","ARRIENDOS PAGADOS POR ANTICIPADO","110402","account.data_account_type_prepayments","l10n_ec_ja_ifrs","TRUE"
"ec110403","ANTICIPOS A PROVEEDORES","110403","account.data_account_type_prepayments","l10n_ec_ja_ifrs","TRUE"
